GDP pc 2011 prices,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia (Plurinational State of),Brazil,Barbados,Botswana,Central African Republic,Canada,Switzerland,Chile,China,C̫te d'Ivoire,Cameroon,D.R. of the Congo,Congo,Colombia,Comoros,Cabo Verde,Costa Rica,Czechoslovakia,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Spain,Estonia,Ethiopia,Finland,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,"China, Hong Kong SAR",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran (Islamic Republic of),Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Republic of Korea,Kuwait,Lao People's DR,Lebanon,Liberia,Libya,Saint Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Republic of Moldova,Madagascar,Mexico,TFYR of Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Puerto Rico,D.P.R. of Korea,Portugal,Paraguay,State of Palestine,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan (Former),Senegal,Singapore,Sierra Leone,El Salvador,Serbia,Sao Tome and Principe,Former USSR,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, Province of China",U.R. of Tanzania: Mainland,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Former Yugoslavia,South Africa,Zambia,Zimbabwe
Region,South and South East Asia,Sub Saharan Africa,Eastern Europe,Middle East and North Africa,Latin America,Eastern Europe,Western Offshoots,Western Europe,Eastern Europe,Sub Saharan Africa,Western Europe,Sub Saharan Africa,Sub Saharan Africa,South and South East Asia,Eastern Europe,Middle East and North Africa,Eastern Europe,Eastern Europe,Latin America,Latin America,Latin America,Sub Saharan Africa,Sub Saharan Africa,Western Offshoots,Western Europe,Latin America,East Asia,Sub Saharan Africa,Sub Saharan Africa,Sub Saharan Africa,Sub Saharan Africa,Latin America,Sub Saharan Africa,Sub Saharan Africa,Latin America,Eastern Europe,Latin America,Eastern Europe,Eastern Europe,Western Europe,Sub Saharan Africa,Latin America,Western Europe,Latin America,Middle East and North Africa,Latin America,Middle East and North Africa,Western Europe,Eastern Europe,Sub Saharan Africa,Western Europe,Western Europe,Sub Saharan Africa,Western Europe,Eastern Europe,Sub Saharan Africa,Sub Saharan Africa,Sub Saharan Africa,Sub Saharan Africa,Sub Saharan Africa,Western Europe,Latin America,East Asia,Latin America,Eastern Europe,Latin America,Eastern Europe,South and South East Asia,South and South East Asia,Western Europe,Middle East and North Africa,Middle East and North Africa,Western Europe,Middle East and North Africa,Western Europe,Latin America,Middle East and North Africa,East Asia,Eastern Europe,Sub Saharan Africa,Eastern Europe,South and South East Asia,East Asia,Middle East and North Africa,South and South East Asia,Middle East and North Africa,Sub Saharan Africa,Middle East and North Africa,Latin America,South and South East Asia,Sub Saharan Africa,Eastern Europe,Western Europe,Eastern Europe,Middle East and North Africa,Eastern Europe,Sub Saharan Africa,Latin America,Eastern Europe,Sub Saharan Africa,Western Europe,South and South East Asia,Eastern Europe,South and South East Asia,Sub Saharan Africa,Sub Saharan Africa,Sub Saharan Africa,Sub Saharan Africa,South and South East Asia,Sub Saharan Africa,Sub Saharan Africa,Sub Saharan Africa,Latin America,Western Europe,Western Europe,South and South East Asia,Western Offshoots,Middle East and North Africa,South and South East Asia,Latin America,Latin America,South and South East Asia,Eastern Europe,Latin America,East Asia,Western Europe,Latin America,Middle East and North Africa,Middle East and North Africa,Eastern Europe,Eastern Europe,Sub Saharan Africa,Middle East and North Africa,Sub Saharan Africa,Sub Saharan Africa,South and South East Asia,Sub Saharan Africa,Latin America,Eastern Europe,Sub Saharan Africa,Eastern Europe,Eastern Europe,Eastern Europe,Western Europe,Sub Saharan Africa,Sub Saharan Africa,Middle East and North Africa,Sub Saharan Africa,Sub Saharan Africa,South and South East Asia,Eastern Europe,Eastern Europe,Latin America,Middle East and North Africa,Middle East and North Africa,East Asia,Sub Saharan Africa,Sub Saharan Africa,Eastern Europe,Latin America,Western Offshoots,Eastern Europe,Latin America,South and South East Asia,Middle East and North Africa,Eastern Europe,Sub Saharan Africa,Sub Saharan Africa,Sub Saharan Africa
year,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BOL,BRA,BRB,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CSK,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SRB,STP,SUN,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,YUG,ZAF,ZMB,ZWE
2000,  502 ,"  2,014 ","  4,808 ","  48,888 ","  14,369 ","  5,140 ","  36,603 ","  34,796 ","  4,215 ",  740 ,"  33,720 ","  1,909 ","  1,275 ","  1,485 ","  8,411 ","  17,022 ","  7,082 ","  9,111 ","  4,174 ","  9,834 ","  12,600 ","  8,044 ",  964 ,"  36,943 ","  43,251 ","  15,212 ","  4,730 ","  2,353 ","  1,961 ",  414 ,"  4,159 ","  8,497 ","  1,204 ","  3,584 ","  9,320 ","  15,378 ","  4,009 ","  22,327 ","  17,056 ","  33,367 ","  1,881 ","  5,697 ","  39,021 ","  6,788 ","  6,835 ","  6,908 ","  6,594 ","  26,995 ","  16,807 ",  772 ,"  32,690 ","  33,410 ","  10,638 ","  31,946 ","  4,892 ","  2,100 ","  1,047 ","  1,441 ","  1,231 ","  12,915 ","  20,965 ","  5,860 ","  32,894 ","  3,336 ","  13,245 ","  1,521 ","  13,129 ","  5,384 ","  2,753 ","  38,807 ","  9,105 ","  3,649 ","  33,108 ","  26,059 ","  32,717 ","  6,531 ","  7,622 ","  33,211 ","  9,309 ","  1,915 ","  3,246 ","  1,659 ","  23,108 ","  35,845 ","  2,262 ","  7,406 ",  972 ,"  9,771 ","  7,191 ","  5,841 ","  1,967 ","  10,807 ","  50,064 ","  11,310 ","  4,754 ","  2,990 ","  1,239 ","  12,613 ","  8,084 ","  1,153 ","  20,435 ","  1,843 ","  6,046 ","  2,936 ","  1,196 ","  1,935 ","  14,272 ",  967 ,"  13,475 ","  5,972 ",  693 ,"  2,145 ","  2,859 ","  37,900 ","  54,040 ","  1,677 ","  26,823 ","  24,186 ","  3,155 ","  9,899 ","  6,038 ","  4,034 ","  12,732 ","  27,392 ","  1,657 ","  23,372 ","  4,896 ","  5,377 ","  45,788 ","  7,090 ","  10,553 ","  1,024 ","  23,905 ","  1,951 ","  1,984 ","  37,773 ",  829 ,"  5,404 ","  6,060 ","  2,219 ","  8,194 ","  13,905 ","  21,501 ","  34,203 ","  4,895 ","  14,380 ","  7,668 ",  716 ,"  1,150 ","  9,627 ","  1,723 ","  4,173 ","  19,180 ","  7,548 ","  11,904 ","  26,787 ","  1,149 ","  1,192 ","  5,166 ","  13,050 ","  45,886 ","  4,667 ","  13,993 ","  2,773 ","  4,212 ","  8,473 ","  7,583 ","  1,429 ","  2,211 "
2001,  490 ,"  2,162 ","  5,286 ","  51,263 ","  13,652 ","  5,458 ","  37,276 ","  35,272 ","  4,499 ",  730 ,"  33,923 ","  1,928 ","  1,283 ","  1,551 ","  8,832 ","  18,153 ","  7,129 ","  9,462 ","  4,166 ","  9,953 ","  12,112 ","  8,083 ",  953 ,"  37,307 ","  44,399 ","  15,448 ","  4,995 ","  2,343 ","  2,029 ",  404 ,"  4,257 ","  8,528 ","  1,217 ","  3,799 ","  9,452 ","  16,000 ","  4,231 ","  23,096 ","  17,869 ","  34,260 ","  1,846 ","  5,800 ","  39,426 ","  6,917 ","  7,218 ","  7,131 ","  6,915 ","  28,154 ","  17,697 ",  784 ,"  33,482 ","  33,920 ","  11,105 ","  32,660 ","  5,125 ","  2,143 ","  1,091 ","  1,495 ","  1,233 ","  21,168 ","  21,914 ","  5,883 ","  32,734 ","  3,365 ","  13,818 ","  1,501 ","  13,934 ","  5,526 ","  2,838 ","  40,966 ","  9,621 ","  4,148 ","  33,794 ","  25,427 ","  33,511 ","  6,615 ","  7,983 ","  33,246 ","  10,589 ","  1,972 ","  3,358 ","  1,726 ","  23,804 ","  37,226 ","  2,365 ","  7,837 ","  1,097 ","  10,354 ","  7,014 ","  5,621 ","  1,997 ","  11,607 ","  50,528 ","  12,104 ","  5,042 ","  3,151 ","  1,290 ","  12,565 ","  7,835 ","  1,309 ","  20,413 ","  1,996 ","  6,430 ","  3,134 ","  1,219 ","  1,964 ","  14,348 ",  899 ,"  13,307 ","  5,888 ",  723 ,"  2,283 ","  2,944 ","  38,636 ","  56,578 ","  1,738 ","  27,167 ","  26,431 ","  3,177 ","  9,805 ","  6,010 ","  4,090 ","  13,018 ","  29,517 ","  1,704 ","  23,751 ","  4,918 ","  4,626 ","  50,526 ","  7,860 ","  11,391 ","  1,067 ","  24,192 ","  2,076 ","  2,010 ","  36,865 ",  923 ,"  5,550 ","  6,543 ","  2,246 ","  8,850 ","  14,362 ","  22,007 ","  34,667 ","  4,977 ","  14,221 ","  7,509 ",  783 ,"  1,116 ","  9,819 ","  1,845 ","  5,014 ","  19,737 ","  7,848 ","  10,951 ","  26,204 ","  1,214 ","  1,256 ","  5,794 ","  12,464 ","  45,878 ","  4,725 ","  14,298 ","  2,916 ","  4,249 ","  8,828 ","  7,840 ","  1,504 ","  2,194 "
2002,  797 ,"  2,523 ","  5,609 ","  54,077 ","  12,095 ","  6,082 ","  38,567 ","  35,824 ","  4,880 ",  737 ,"  34,420 ","  1,934 ","  1,256 ","  1,621 ","  9,472 ","  19,488 ","  7,392 ","  9,870 ","  4,194 ","  10,245 ","  12,025 ","  8,604 ",  929 ,"  38,124 ","  44,934 ","  15,510 ","  5,343 ","  2,298 ","  2,085 ",  414 ,"  4,459 ","  8,631 ","  1,230 ","  3,998 ","  9,592 ","  16,595 ","  4,369 ","  23,828 ","  18,431 ","  34,591 ","  1,824 ","  5,771 ","  39,709 ","  7,327 ","  7,815 ","  7,360 ","  7,143 ","  28,753 ","  18,589 ",  794 ,"  33,987 ","  34,153 ","  11,141 ","  33,271 ","  5,407 ","  2,192 ","  1,149 ","  1,473 ","  1,196 ","  24,845 ","  22,894 ","  5,980 ","  33,038 ","  3,431 ","  14,684 ","  1,494 ","  14,899 ","  5,720 ","  2,871 ","  43,013 ","  10,467 ","  4,632 ","  33,470 ","  24,824 ","  33,780 ","  6,661 ","  8,394 ","  33,195 ","  11,640 ","  1,962 ","  3,299 ","  1,771 ","  25,251 ","  39,943 ","  2,487 ","  8,248 ","  1,343 ","  10,788 ","  7,142 ","  5,721 ","  1,959 ","  12,491 ","  51,710 ","  13,015 ","  5,141 ","  3,374 ","  1,111 ","  12,646 ","  7,964 ","  1,321 ","  20,874 ","  2,176 ","  6,898 ","  3,402 ","  1,200 ","  1,967 ","  14,196 ",  886 ,"  13,810 ","  6,069 ",  735 ,"  2,609 ","  2,969 ","  38,653 ","  58,840 ","  1,710 ","  28,066 ","  27,142 ","  3,266 ","  9,879 ","  6,274 ","  4,181 ","  13,416 ","  30,218 ","  1,711 ","  23,896 ","  5,571 ","  3,842 ","  57,541 ","  8,674 ","  12,259 ","  1,154 ","  24,054 ","  2,206 ","  1,960 ","  37,830 ","  1,102 ","  5,751 ","  7,156 ","  2,250 ","  9,488 ","  14,985 ","  22,725 ","  35,570 ","  5,137 ","  14,581 ","  7,530 ",  832 ,"  1,082 ","  10,276 ","  1,983 ","  5,796 ","  21,052 ","  7,917 ","  11,754 ","  27,426 ","  1,293 ","  1,301 ","  6,263 ","  11,400 ","  46,266 ","  4,777 ","  12,856 ","  3,071 ","  4,292 ","  9,266 ","  8,171 ","  1,579 ","  2,025 "
2003,  843 ,"  2,712 ","  6,005 ","  59,823 ","  13,089 ","  6,743 ","  39,524 ","  36,063 ","  5,409 ",  704 ,"  34,588 ","  1,920 ","  1,278 ","  1,711 ","  10,081 ","  21,392 ","  7,551 ","  10,493 ","  4,230 ","  10,355 ","  12,095 ","  9,043 ",  846 ,"  38,560 ","  45,442 ","  15,809 ","  5,649 ","  2,263 ","  2,144 ",  436 ,"  4,468 ","  8,855 ","  1,240 ","  4,185 ","  9,831 ","  17,407 ","  4,507 ","  24,347 ","  19,344 ","  34,716 ","  1,946 ","  6,322 ","  39,983 ","  7,325 ","  8,590 ","  7,469 ","  7,366 ","  29,372 ","  19,772 ",  765 ,"  34,607 ","  34,292 ","  11,666 ","  34,232 ","  6,013 ","  2,257 ","  1,146 ","  1,479 ","  1,182 ","  27,571 ","  24,380 ","  6,004 ","  33,594 ","  3,527 ","  15,740 ","  1,496 ","  15,830 ","  5,939 ","  3,036 ","  44,373 ","  11,503 ","  3,782 ","  33,921 ","  24,545 ","  33,918 ","  6,909 ","  8,670 ","  33,620 ","  12,726 ","  1,998 ","  3,465 ","  1,850 ","  25,679 ","  48,810 ","  2,625 ","  8,671 ",  852 ,"  12,871 ","  7,602 ","  5,964 ","  2,003 ","  13,918 ","  51,717 ","  14,142 ","  5,387 ","  3,575 ","  1,198 ","  12,794 ","  8,160 ","  1,391 ","  21,273 ","  2,411 ","  7,445 ","  3,775 ","  1,156 ","  2,076 ","  14,623 ",  906 ,"  14,362 ","  6,082 ",  758 ,"  2,848 ","  3,049 ","  38,804 ","  60,852 ","  1,748 ","  28,876 ","  27,314 ","  3,438 ","  10,154 ","  6,472 ","  4,333 ","  14,036 ","  30,688 ","  1,730 ","  23,678 ","  5,727 ","  4,158 ","  62,234 ","  9,369 ","  13,521 ","  1,130 ","  27,367 ","  2,373 ","  2,025 ","  38,951 ","  1,157 ","  5,957 ","  7,638 ","  2,363 ","  10,391 ","  15,773 ","  23,257 ","  36,436 ","  5,378 ","  13,836 ","  6,987 ",  926 ,"  1,114 ","  10,869 ","  2,136 ","  6,785 ","  23,814 ","  8,282 ","  12,380 ","  28,349 ","  1,370 ","  1,335 ","  7,030 ","  11,439 ","  47,158 ","  4,845 ","  11,728 ","  3,242 ","  4,327 ","  9,686 ","  8,451 ","  1,699 ","  1,701 "
2004,  869 ,"  3,064 ","  6,420 ","  64,926 ","  14,183 ","  7,230 ","  40,888 ","  36,957 ","  5,971 ",  710 ,"  35,740 ","  1,924 ","  1,269 ","  1,813 ","  10,854 ","  23,390 ","  7,857 ","  11,616 ","  4,331 ","  10,950 ","  12,079 ","  9,330 ",  853 ,"  39,492 ","  47,264 ","  16,479 ","  6,068 ","  2,281 ","  2,198 ",  464 ,"  4,561 ","  9,211 ","  1,247 ","  4,368 ","  10,087 ","  18,389 ","  4,561 ","  25,355 ","  20,555 ","  35,529 ","  2,097 ","  6,603 ","  41,179 ","  7,441 ","  9,182 ","  7,959 ","  7,662 ","  30,088 ","  20,804 ",  771 ,"  35,889 ","  35,094 ","  12,023 ","  34,866 ","  6,343 ","  2,330 ","  1,160 ","  1,586 ","  1,195 ","  33,420 ","  25,780 ","  6,070 ","  36,053 ","  3,687 ","  16,629 ","  1,439 ","  16,999 ","  6,181 ","  3,213 ","  47,029 ","  12,404 ","  6,062 ","  36,209 ","  25,211 ","  34,472 ","  7,005 ","  9,289 ","  34,314 ","  13,930 ","  2,066 ","  3,632 ","  1,966 ","  26,647 ","  55,912 ","  2,785 ","  9,492 ",  761 ,"  14,193 ","  8,322 ","  6,192 ","  2,004 ","  14,996 ","  52,624 ","  15,371 ","  5,584 ","  3,813 ","  1,240 ","  13,288 ","  8,561 ","  1,367 ","  21,233 ","  2,665 ","  8,194 ","  4,334 ","  1,126 ","  2,186 ","  14,855 ",  923 ,"  15,087 ","  6,713 ",  725 ,"  3,137 ","  3,220 ","  39,682 ","  64,824 ","  1,802 ","  29,807 ","  28,607 ","  3,665 ","  10,770 ","  6,731 ","  4,563 ","  14,906 ","  32,111 ","  1,754 ","  24,143 ","  5,877 ","  4,359 ","  74,373 ","  10,531 ","  14,881 ","  1,159 ","  30,234 ","  2,461 ","  2,075 ","  42,111 ","  1,197 ","  6,146 ","  8,512 ","  2,409 ","  11,429 ","  16,571 ","  24,151 ","  38,016 ","  5,559 ","  13,736 ","  7,051 ","  1,200 ","  1,122 ","  11,408 ","  2,301 ","  7,782 ","  25,403 ","  8,705 ","  13,424 ","  29,975 ","  1,464 ","  1,365 ","  8,049 ","  11,955 ","  48,493 ","  5,068 ","  13,713 ","  3,438 ","  4,371 ","  10,317 ","  8,878 ","  1,828 ","  1,605 "
